Spieler,Klub,Alter,Position,Nationalität
N. Glaus,Grasshopper Club Zürich,22,Torhüter,Schweiz
,,,,
R. Giger,FC Lausanne-Sport,27,Verteidiger,Schweiz
,,,,
W. Geubbels,FC St.Gallen 1879,23,Stürmer,Frankreich
,,,,
J. Gbamin,FC Zürich,29,Mittelfeldspieler,Elfenbeinküste / Frankreich
,,,,
J. Frick,Servette FC,31,Torhüter,Schweiz
,,,,
B. Freimann,FC Luzern,19,Verteidiger,Schweiz
,,,,
F. Frei,FC Winterthur,36,Mittelfeldspieler,Schweiz
,,,,
B. Fofana,FC Winterthur,26,Stürmer,Frankreich
,,,,
S. Fofana,FC Lausanne-Sport,21,Verteidiger,Frankreich / Elfenbeinküste
,,,,
C. Fiorini,FC Zürich,18,Mittelfeldspieler,Italien
,,,,
B. Fink,FC Basel 1893,21,Stürmer,Schweiz / England
,,,,
Rodrigo Conceição,FC Zürich,25,Verteidiger,Portugal
,,,,
Christian Marques,Yverdon Sport FC,22,Verteidiger,Portugal / Schweiz
,,,,
R. Fernandes,FC Luzern,21,Verteidiger,Schweiz
,,,,
B. Fazliji,FC St.Gallen 1879,25,Mittelfeldspieler,Kosovo / Schweiz
,,,,
T. Fayulu,FC Sion,25,Torhüter,Demokratische Republik Kongo / Schweiz
,,,,
C. Fassnacht,BSC Young Boys,31,Mittelfeldspieler,Schweiz
,,,,
K. Faber,FC St.Gallen 1879,27,Verteidiger,Deutschland
,,,,
U. Emmanuel,FC Zürich,20,Stürmer,Nigeria
,,,,
A. El Wafi,FC Lugano,20,Verteidiger,Marokko / Italien
,,,,
N. Dussenne,FC Lausanne-Sport,32,Verteidiger,Belgien
,,,,
A. Durrer,FC Winterthur,23,Mittelfeldspieler,Schweiz
,,,,
B. Dumrath,FC St.Gallen 1879,21,Torhüter,Deutschland / Schweiz
,,,,
M. Dubosson,FC Sion,20,Verteidiger,Schweiz
,,,,
O. Doumbia,FC Lugano,32,Mittelfeldspieler,Elfenbeinküste
,,,,
D. Douline,Servette FC,31,Mittelfeldspieler,Frankreich
,,,,
Daniel Dos Santos,FC Lugano,22,Mittelfeldspieler,Schweiz / Portugal
,,,,
P. Dorn,FC Luzern,28,Verteidiger,Deutschland
,,,,
D. Djokic,FC Sion,24,Stürmer,Schweiz / Bosnien-Herzegowina
,,,,
G. Diouf,FC Sion,21,Verteidiger,Senegal
,,,,
D. Diop,Yverdon Sport FC,26,Verteidiger,Senegal
,,,,
S. Diaby,FC Winterthur,25,Verteidiger,Elfenbeinküste
,,,,
A. Diaby,FC St.Gallen 1879,24,Verteidiger,Mali
